pergunta,categoria
"Como emitir nota fiscal?","fiscal"
"Como gerar boleto?","financeiro"
"Qual o estoque de peças?","estoque"
"Como cadastrar um veículo?","comercial"
"Como lançar despesas contábeis?","contabil"
"Como configurar integração com banco?","integracoes"
"Boa noite","social"
"Oi, tudo bem?","social"
"Como agendar um serviço de oficina?","oficina"
"Bom dia","social"
"Boa tarde","social"
"Boa noite","social"
"Oi","social"
"Olá","social"
"E aí","social"
"Tudo bem?","social"
"Como você está?","social"
"Como vai?","social"
"Oi, tudo certo?","social"
"Bom dia equipe","social"
"Boa semana a todos","social"
"Boa noite equipe","social"
"Oi pessoal","social"
"Salve","social"
"Como estão as coisas?","social"
"Espero que estejam bem","social"
"Tenham um ótimo dia","social"
"Olá equipe","social"
"Bom final de semana","social"
"Bom trabalho","social"
"Boa jornada","social"
"Oi bom dia","social"
"Boa tarde pessoal","social"
"Oi time","social"
"Como foi o final de semana?","social"
"Espero que tenham tido um bom descanso","social"
"Boa noite time","social"
"Oi pessoal tudo bem?","social"
"Olá tudo certo?","social"
"Oi como posso ajudar?","social"
"Bom dia como posso ajudar?","social"
"Boa tarde como posso ajudar?","social"
"Boa noite como posso ajudar?","social"
"Oi equipe tudo certo?","social"
"Bom dia clientes","social"
"Olá clientes","social"
"Boa tarde clientes","social"
"Boa noite clientes","social"
"Bem-vindo","social"
"Bem-vinda","social"
"Oi seja bem-vindo","social"
"Oi seja bem-vinda","social"
"Como posso ajudar hoje?","social"
"Oi tudo bem por aí?","social"
"Espero que esteja tudo bem","social"
"Oi como foi o dia?","social"
"Como emitir nota fiscal?","fiscal"
"Como faço para emitir uma nota fiscal de serviço?","fiscal"
"Como cancelar uma nota fiscal?","fiscal"
"Como consultar notas fiscais emitidas?","fiscal"
"Como importar XML da nota fiscal?","fiscal"
"Como gerar uma nota fiscal de entrada?","fiscal"
"Como gerar uma nota complementar?","fiscal"
"Como enviar a nota fiscal para o cliente?","fiscal"
"Como validar uma nota fiscal?","fiscal"
"Como corrigir uma nota fiscal com erro?","fiscal"
"Como imprimir a DANFE?","fiscal"
"Como configurar CFOP na nota fiscal?","fiscal"
